,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
329,Randy Bullock,CIN,314,K28,9.0,177.0,425.0,293.1,41.8,301.0
330,Darren Fells,HOU,315,TE36,8.0,178.0,325.0,265.8,39.9,329.0
331,Nelson Agholor,LV,316,WR101,6.0,166.0,494.0,292.5,50.0,310.0
332,C.J. Uzomah,CIN,317,TE37,9.0,163.0,341.0,259.8,40.3,251.0
333,DeeJay Dallas,SEA,318,RB89,6.0,199.0,373.0,289.7,43.5,368.0
334,Lamical Perine,NYJ,319,RB90,11.0,174.0,361.0,288.7,38.1,281.0
335,Patrick Laird,MIA,320,RB91,11.0,217.0,380.0,295.9,27.2,321.0
336,Jakobi Meyers,NE,321,WR102,6.0,175.0,470.0,298.3,41.4,339.0
337,David Moore,SEA,322,WR103,6.0,199.0,388.0,292.4,36.6,330.0
338,Las Veg,DST,323,DST29,6.0,179.0,357.0,287.4,43.8,
339,Willie Snead,BAL,324,WR104,8.0,223.0,398.0,296.3,32.4,234.0
340,Jordan Akins,HOU,325,TE38,8.0,139.0,372.0,276.4,45.1,
341,Reggie Bonnafon,CAR,326,RB92,13.0,188.0,369.0,303.3,33.1,342.0
342,Dan Arnold,ARI,327,TE39,8.0,122.0,405.0,265.5,64.0,349.0
343,Trey Burton,IND,328,TE40,7.0,119.0,349.0,276.5,51.6,333.0
344,T.J. Yeldon,BUF,329,RB93,11.0,217.0,400.0,308.5,28.8,359.0
345,Jarrett Stidham,NE,330,QB36,6.0,209.0,374.0,309.2,43.3,297.0
347,Devine Ozigbo,JAC,331,RB94,7.0,132.0,388.0,239.7,70.6,380.0
348,Jordan Wilkins,IND,332,RB95,7.0,236.0,473.0,310.9,39.0,
349,Qadree Ollison,ATL,333,RB96,10.0,250.0,372.0,319.7,27.2,
350,Wayne Gallman,NYG,334,RB97,11.0,241.0,396.0,316.1,31.8,
351,Devin Asiasi,NE,335,TE41,6.0,162.0,394.0,282.3,53.2,271.0
352,Eno Benjamin,ARI,336,RB98,8.0,169.0,385.0,305.1,46.0,300.0
353,Greg Ward,PHI,337,WR105,9.0,102.0,503.0,290.8,65.6,350.0
354,Stephen Gostkowski,FA,338,K29,,103.0,354.0,236.5,51.8,309.0
355,DaeSean Hamilton,DEN,339,WR106,8.0,196.0,511.0,315.2,48.7,
356,Bo Scarbrough,DET,340,RB99,5.0,252.0,398.0,318.0,28.8,363.0
357,Olabisi Johnson,MIN,341,WR107,7.0,169.0,373.0,277.7,48.0,353.0
358,Nick Boyle,BAL,342,TE42,8.0,189.0,402.0,283.7,43.2,
359,Jason Witten,LV,343,TE43,6.0,142.0,381.0,296.6,48.2,367.0
360,Jacob Hollister,SEA,344,TE44,6.0,219.0,384.0,309.8,42.9,319.0
361,Jameis Winston,NO,345,QB37,6.0,202.0,415.0,319.9,53.0,345.0
362,Logan Thomas,WAS,346,TE45,8.0,180.0,430.0,268.0,58.4,324.0
363,Travis Homer,SEA,347,RB100,6.0,256.0,427.0,331.2,33.6,
364,Keke Coutee,HOU,348,WR108,8.0,231.0,416.0,324.5,34.7,
365,Greg Joseph,TEN,349,K30,7.0,90.0,353.0,282.0,46.0,225.0
366,Ted Ginn,CHI,350,WR109,11.0,204.0,421.0,310.6,43.9,366.0
367,Taysom Hill,NO,351,QB38,6.0,138.0,385.0,307.5,63.7,
368,Myles Gaskin,MIA,352,RB101,11.0,261.0,402.0,328.3,29.6,
369,Ryan Griffin,NYJ,353,TE46,11.0,177.0,411.0,310.4,46.3,
370,Cole Kmet,CHI,354,TE47,11.0,165.0,370.0,308.9,51.8,298.0
371,Miami (MIA)M,DST,355,DST30,11.0,161.0,374.0,293.0,50.1,347.0
372,Corey Clement,PHI,356,RB102,9.0,149.0,469.0,318.1,62.9,379.0
373,Derrius Guice,FA,357,RB103,,54.0,359.0,174.7,114.1,139.0
374,Jason Sanders,MIA,358,K31,11.0,88.0,420.0,295.5,54.1,241.0
375,Marcus Mariota,LV,359,QB39,6.0,197.0,397.0,328.5,47.3,334.0
