,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
246,Stanley Morgan Jr.,WR,CIN,0,0,0,0,0,1,3,0,1,2,8,0,0,1.1,2.1,1.6
247,Josh Reynolds,WR,DET,0,0,0,0,0,0,0,0,1,3,11,0,0,1.1,2.1,1.6
248,Tarik Black,WR,NYJ,0,0,0,0,0,0,0,0,1,2,10,0,0,1.0,2.0,1.5
249,Justin Jackson,RB,LAC,0,0,0,0,0,3,20,0,0,1,0,0,0,2.0,2.0,2.0
250,Jeremy Sprinkle,TE,DAL,0,0,0,0,0,0,0,0,1,1,10,0,0,1.0,2.0,1.5
251,Nick Vannett,TE,NOR,0,0,0,0,0,0,0,0,1,1,10,0,0,1.0,2.0,1.5
252,Harrison Bryant,TE,CLE,0,0,0,0,0,0,0,0,1,3,9,0,0,0.9,1.9,1.4
253,Michael Carter,RB,NYJ,0,0,0,0,0,9,19,0,0,3,0,0,0,1.9000000000000001,1.9000000000000001,1.9000000000000001
254,Trenton Irwin,WR,CIN,0,0,0,0,0,0,0,0,1,4,9,0,0,0.9,1.9,1.4
255,Drew Sample,TE,CIN,0,0,0,0,0,0,0,0,1,1,8,0,0,0.8,1.8,1.3
256,Antony Auclair,TE,HOU,0,0,0,0,0,0,0,0,1,1,7,0,0,0.7000000000000001,1.7000000000000002,1.2000000000000002
257,C.J. Ham,FB,MIN,0,0,0,0,0,0,0,0,1,1,7,0,0,0.7000000000000001,1.7000000000000002,1.2000000000000002
258,Zach Pascal,WR,IND,0,0,0,0,0,0,0,0,1,2,7,0,0,0.7000000000000001,1.7000000000000002,1.2000000000000002
259,Blake Jarwin,TE,DAL,0,0,0,0,0,0,0,0,1,2,6,0,0,0.6000000000000001,1.6,1.1
260,John Bates,TE,WAS,0,0,0,0,0,0,0,0,1,2,5,0,0,0.5,1.5,1.0
261,Khari Blasingame,FB,TEN,0,0,0,0,0,0,0,0,1,1,5,0,0,0.5,1.5,1.0
262,Tyler Kroft,TE,NYJ,0,0,0,0,0,0,0,0,1,3,5,0,0,0.5,1.5,1.0
263,Amari Rodgers,WR,GNB,0,0,0,0,0,0,0,0,1,3,5,0,0,0.5,1.5,1.0
264,Evan Engram,TE,NYG,0,0,0,0,0,0,0,0,1,5,4,0,0,0.4,1.4,0.9
265,Adam Humphries,WR,WAS,0,0,0,0,0,0,0,0,1,2,3,0,0,0.30000000000000004,1.3,0.8
