Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
243,Demaryius Thomas,DEN,WR,23.0,10.0,2.0,39.0,22.0,0.0,0.0,0.0,1.0,0.0,2.0,283.0,2.0,58.4,0.0,3.0,2.0
244,Earnest Graham,TAM,RB,30.0,12.0,7.0,19.0,16.0,2.0,1.0,1.0,99.0,1.0,20.0,130.0,1.0,52.98,0.0,1.0,1.0
245,Seyi Ajirotutu,SDG,WR,23.0,10.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,2.0,51.2,0.0,0.0,0.0
246,John Carlson,SEA,TE,26.0,15.0,13.0,58.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,1.0,68.8,0.0,0.0,0.0
247,Evan Moore,CLE,TE,25.0,12.0,4.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,1.0,52.2,0.0,1.0,1.0
248,Danario Alexander,STL,WR,24.0,8.0,2.0,37.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,1.0,56.6,0.0,0.0,0.0
249,Anthony Dixon,SFO,RB,23.0,16.0,0.0,5.0,5.0,0.0,0.0,0.0,237.0,2.0,70.0,11.0,0.0,41.8,0.0,0.0,0.0
250,Matt Moore,CAR,QB,26.0,6.0,5.0,0.0,0.0,857.0,5.0,143.0,25.0,0.0,5.0,0.0,0.0,32.78,10.0,4.0,2.0
251,Antwaan Randle El,PIT,WR,31.0,16.0,0.0,39.0,22.0,42.0,2.0,2.0,2.0,0.0,1.0,253.0,0.0,57.18000000000001,0.0,2.0,0.0
252,Micheal Spurlock,TAM,WR,27.0,16.0,1.0,33.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,250.0,2.0,52.0,0.0,2.0,1.0
253,Joe Webb,MIN,QB,24.0,5.0,2.0,0.0,0.0,477.0,0.0,89.0,120.0,2.0,18.0,0.0,0.0,37.08,3.0,1.0,0.0
254,Charlie Whitehurst,SEA,QB,28.0,6.0,2.0,0.0,0.0,507.0,2.0,99.0,43.0,1.0,20.0,0.0,0.0,32.58,3.0,2.0,0.0
255,Early Doucet,ARI,WR,25.0,10.0,5.0,59.0,26.0,0.0,0.0,0.0,5.0,0.0,2.0,291.0,1.0,61.6,0.0,0.0,0.0
