Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
WR,CLE,Travis Benjamin,16,383,1051,36.44,23.94,0.78,12.01,12.79,50.5,0.13
RB,IND,Ahmad Bradshaw,10,382,753,50.73,38.2,23.56,12.3,35.86,116.5,0.3
RB,TB,Bobby Rainey,15,382,930,41.08,25.47,24.61,11.78,36.39,78.1,0.2
WR,BAL,Marlon Brown,14,375,942,39.81,26.79,0,8.27,8.27,25.5,0.07
TE,NYJ,Jace Amaro,14,375,946,39.64,26.79,0,14.13,14.13,46.5,0.12
WR,CHI,Marquess Wilson,7,373,452,82.52,53.29,0,8.58,8.58,20,0.05
RB,SD,Branden Oliver,14,373,925,40.32,26.64,42.9,12.06,54.96,109.3,0.29
WR,NYG,Victor Cruz,6,372,416,89.42,62,0,11.02,11.02,39.7,0.11
TE,BAL,Crockett Gillmore,15,372,1011,36.8,24.8,0,4.03,4.03,18.1,0.05
RB,LAR,Tre Mason,12,368,722,50.97,30.67,48.64,7.07,55.71,119.3,0.32
RB,WAS,Roy Helu,14,364,927,39.27,26,10.99,12.91,23.9,85.3,0.23
TE,WAS,Jordan Reed,11,364,726,50.14,33.09,0,17.86,17.86,44.5,0.12
TE,CLE,Gary Barnidge,13,358,897,39.91,27.54,0,6.98,6.98,15.6,0.04
RB,TEN,Bishop Sankey,16,354,966,36.65,22.13,42.94,6.5,49.44,78.2,0.22
RB,SD,Donald Brown,13,352,881,39.95,27.08,24.15,11.65,35.8,43.4,0.12
TE,NE,Tim Wright,16,351,1131,31.03,21.94,0.28,9.4,9.69,61.7,0.18
RB,ATL,Jacquizz Rodgers,16,350,1081,32.38,21.88,16.57,11.43,28,51,0.15
RB,TB,Doug Martin,11,345,690,50,31.36,39.13,5.8,44.93,67.8,0.2
WR,LAR,Brian Quick,7,343,457,75.05,49,0,11.37,11.37,55.5,0.16
TE,PIT,Matt Spaeth,15,341,1059,32.2,22.73,0,1.17,1.17,12.6,0.04
TE,MIN,Chase Ford,11,339,738,45.93,30.82,0,10.32,10.32,31.8,0.09
RB,PHI,Darren Sproles,15,337,1084,31.09,22.47,16.91,18.4,35.31,105.6,0.31
RB,HOU,Alfred Blue,16,336,1109,30.3,21,50.3,5.36,55.65,82.1,0.24
WR,SF,Brandon Lloyd,14,335,931,35.98,23.93,0,10.45,10.45,35.4,0.11
TE,BUF,Lee Smith,14,335,946,35.41,23.93,0,2.39,2.39,10.2,0.03
TE,HOU,Ryan Griffin,16,334,1109,30.12,20.88,0,4.79,4.79,15.1,0.05
TE,LAR,Cory Harkey,16,333,1004,33.17,20.81,0,3.3,3.3,13.5,0.04
RB,MIN,Jerick McKinnon,11,331,725,45.66,30.09,34.14,12.39,46.53,67.3,0.2
TE,DAL,James Hanna,16,327,1059,30.88,20.44,0,1.83,1.83,4.8,0.01
TE,TB,Luke Stocker,13,325,807,40.27,25,0,3.38,3.38,4.1,0.01
TE,ARI,Rob Housler,15,320,992,32.26,21.33,0.31,5.31,5.63,13,0.04
TE,CHI,Dante Rosario,16,315,1058,29.77,19.69,0,6.98,6.98,11.6,0.04
WR,TEN,Derek Hagan,16,311,966,32.19,19.44,0,10.93,10.93,31.4,0.1
RB,DEN,Ronnie Hillman,8,311,589,52.8,38.88,34.08,10.93,45.02,81.3,0.26
